Date,Open,High,Low,Close,Adj Close,Volume
2023-02-18,0.395302,0.396849,0.391883,0.394630,0.394630,499633442
2023-02-19,0.394597,0.397615,0.386187,0.386317,0.386317,727659069
2023-02-20,0.386378,0.407323,0.381749,0.398525,0.398525,1354318620
2023-02-21,0.398519,0.401435,0.388073,0.391905,0.391905,1103766687
2023-02-22,0.391908,0.396391,0.383926,0.395586,0.395586,1114714971
2023-02-23,0.395586,0.397463,0.386712,0.389130,0.389130,917426306
2023-02-24,0.389088,0.390547,0.374133,0.378477,0.378477,953355531
2023-02-25,0.378507,0.379419,0.372250,0.378085,0.378085,552223148
2023-02-26,0.378085,0.380606,0.375420,0.378041,0.378041,441815645
2023-02-27,0.378005,0.380042,0.372158,0.379115,0.379115,1049508853
2023-02-28,0.379121,0.382433,0.373027,0.377150,0.377150,1000693267
2023-03-01,0.377133,0.384246,0.373666,0.383879,0.383879,912485438
2023-03-02,0.383881,0.384199,0.374483,0.377580,0.377580,812536878
2023-03-03,0.377587,0.379156,0.359894,0.377671,0.377671,1204150691
2023-03-04,0.377671,0.379521,0.370274,0.373813,0.373813,556621575
2023-03-05,0.373819,0.377127,0.366796,0.367194,0.367194,505577640
2023-03-06,0.367176,0.373240,0.360997,0.370471,0.370471,1161608429
2023-03-07,0.370440,0.383995,0.368150,0.380548,0.380548,1479466647
2023-03-08,0.380556,0.399060,0.373760,0.389188,0.389188,1881889627
2023-03-09,0.389176,0.396378,0.366660,0.372130,0.372130,1727254553
2023-03-10,0.372094,0.374711,0.359882,0.370622,0.370622,1450894929
2023-03-11,0.370643,0.374701,0.362083,0.366832,0.366832,1051093584
2023-03-12,0.366827,0.373318,0.352473,0.373318,0.373318,1102164948
2023-03-13,0.373354,0.381001,0.358142,0.373786,0.373786,1694593960
2023-03-14,0.373790,0.387479,0.367318,0.374279,0.374279,1527899940
2023-03-15,0.374326,0.377221,0.358760,0.360558,0.360558,1062482118
2023-03-16,0.360636,0.367265,0.358537,0.366025,0.366025,692737535
2023-03-17,0.366015,0.381317,0.363593,0.380382,0.380382,1046497903
2023-03-18,0.380410,0.387869,0.373449,0.374433,0.374433,867351027
2023-03-19,0.374441,0.400006,0.374441,0.388465,0.388465,1189636323
2023-03-20,0.388374,0.392115,0.374033,0.374628,0.374628,1074222480
2023-03-21,0.374619,0.491367,0.374509,0.469710,0.469710,4178958939
2023-03-22,0.469651,0.474547,0.412934,0.422480,0.422480,3312385991
2023-03-23,0.422451,0.454085,0.415477,0.444850,0.444850,2161421825
2023-03-24,0.444856,0.444874,0.418034,0.425902,0.425902,1314887049
2023-03-25,0.425911,0.463645,0.424218,0.444716,0.444716,1832767576
2023-03-26,0.444675,0.462962,0.442772,0.448817,0.448817,1090501588
2023-03-27,0.448841,0.487613,0.443896,0.479991,0.479991,2730255979
2023-03-28,0.480074,0.529756,0.470201,0.515058,0.515058,3163217119
2023-03-29,0.515005,0.580400,0.514962,0.543577,0.543577,4092945977
2023-03-30,0.543669,0.554223,0.527192,0.534249,0.534249,2694676898
2023-03-31,0.534316,0.546923,0.528558,0.538492,0.538492,1934253477
2023-04-01,0.538472,0.538472,0.501539,0.514741,0.514741,1829835076
2023-04-02,0.509961,0.528495,0.503521,0.518953,0.518953,1488648839
2023-04-03,0.518933,0.523167,0.486949,0.496960,0.496960,1655872706
2023-04-04,0.496890,0.507641,0.488974,0.503479,0.503479,1230443035
2023-04-05,0.503483,0.525639,0.500064,0.506235,0.506235,1402532299
2023-04-06,0.506257,0.509013,0.494525,0.503298,0.503298,1077113140
2023-04-07,0.503306,0.514165,0.499108,0.513736,0.513736,1060408546
2023-04-08,0.513730,0.513730,0.504441,0.505716,0.505716,587641054
2023-04-09,0.505694,0.509143,0.500927,0.505834,0.505834,550582813
2023-04-10,0.505793,0.519673,0.501259,0.518318,0.518318,914389505
2023-04-11,0.518308,0.526306,0.513294,0.517518,0.517518,1206362804
2023-04-12,0.517566,0.517996,0.501415,0.506115,0.506115,1063340695
2023-04-13,0.505182,0.514772,0.502591,0.513292,0.513292,963105081
2023-04-14,0.513335,0.543841,0.512477,0.523993,0.523993,1597156518
2023-04-15,0.523973,0.525805,0.518277,0.520444,0.520444,670556486
2023-04-16,0.520430,0.524254,0.517239,0.521392,0.521392,631212313
2023-04-17,0.521361,0.521361,0.508276,0.511127,0.511127,1021376248
2023-04-18,0.511136,0.535962,0.510617,0.532264,0.532264,1169237634
2023-04-19,0.532247,0.534383,0.489258,0.491599,0.491599,2047949057
2023-04-20,0.491520,0.498827,0.468671,0.474858,0.474858,1484251970
2023-04-21,0.474874,0.478770,0.442739,0.449396,0.449396,1412575276
2023-04-22,0.449401,0.474535,0.446767,0.472661,0.472661,948350839
2023-04-23,0.472660,0.472660,0.455864,0.465016,0.465016,745785219
2023-04-24,0.465017,0.482533,0.451036,0.461273,0.461273,1287683583
2023-04-25,0.461265,0.471495,0.452048,0.469995,0.469995,1120038773
2023-04-26,0.469988,0.482482,0.441331,0.462037,0.462037,1585410692
2023-04-27,0.462053,0.469281,0.457390,0.466868,0.466868,1631460643
2023-04-28,0.466885,0.481096,0.464622,0.480271,0.480271,1145414603
2023-04-29,0.480237,0.485061,0.475726,0.478409,0.478409,611537970
2023-04-30,0.478377,0.481816,0.470954,0.472332,0.472332,556459700
2023-05-01,0.472205,0.472579,0.457182,0.464966,0.464966,941003865
2023-05-02,0.464976,0.465829,0.459436,0.464951,0.464951,903846077
2023-05-03,0.464959,0.465259,0.451436,0.463494,0.463494,1049175706
2023-05-04,0.463488,0.464974,0.456019,0.461573,0.461573,752455291
2023-05-05,0.461564,0.469783,0.458258,0.467800,0.467800,857113580
2023-05-06,0.467821,0.469081,0.454764,0.459549,0.459549,592275764
2023-05-07,0.459499,0.461039,0.450249,0.450364,0.450364,440082859
2023-05-08,0.450346,0.451737,0.418553,0.428915,0.428915,1307982057
2023-05-09,0.428889,0.430158,0.421905,0.429888,0.429888,911350658
2023-05-10,0.429805,0.433696,0.417825,0.430873,0.430873,1068763583
2023-05-11,0.430886,0.430886,0.412962,0.421879,0.421879,906511894
2023-05-12,0.421803,0.439969,0.417720,0.430718,0.430718,1174284548
2023-05-13,0.430720,0.430945,0.424714,0.424903,0.424903,389293055
2023-05-14,0.424872,0.431337,0.423152,0.425860,0.425860,369801280
2023-05-15,0.425861,0.430293,0.422828,0.427562,0.427562,749923785
2023-05-16,0.427600,0.441434,0.420207,0.441422,0.441422,963282009
2023-05-17,0.441409,0.459591,0.438881,0.448589,0.448589,1518727788
2023-05-18,0.448567,0.471252,0.443833,0.460299,0.460299,1356400752
2023-05-19,0.460277,0.473800,0.458530,0.467982,0.467982,1083307614
